time_ms,voltage_mV
0.0,-70.0
0.5,-70.0
1.0,-70.0
1.5,-70.0
2.0,-70.0
2.5,-70.0
3.0,-70.0
3.5,-70.0
4.0,-70.0
4.5,-70.0
5.0,-70.0
5.5,-70.0
6.0,-70.0
6.5,-70.0
7.0,-70.0
7.5,-70.0
8.0,-70.0
8.5,-70.0
9.0,-70.0
9.5,-70.0
10.0,-65.0
10.5,-61.0
11.0,-57.085
11.5,-52.638
12.0,-46.844
12.5,-38.11
13.0,-22.405
13.5,13.525
14.0,30.0
14.5,-65.476
15.0,-65.857
15.5,-66.146
16.0,-66.352
16.5,-66.483
17.0,-66.551
17.5,-66.566
18.0,-66.536
18.5,-66.47
19.0,-66.373
19.5,-66.251
20.0,-66.108
20.5,-65.947
21.0,-65.77
21.5,-65.579
22.0,-65.374
22.5,-65.157
23.0,-64.928
23.5,-64.687
24.0,-64.434
24.5,-64.167
25.0,-63.885
25.5,-63.588
26.0,-63.274
26.5,-62.94
27.0,-62.583
27.5,-62.199
28.0,-61.785
28.5,-61.333
29.0,-60.836
29.5,-60.284
30.0,-59.663
30.5,-58.954
31.0,-58.129
31.5,-57.15
32.0,-55.959
32.5,-54.463
33.0,-52.511
33.5,-49.837
34.0,-45.935
34.5,-39.74
35.0,-28.663
35.5,-5.046
36.0,30.0
36.5,-68.447
37.0,-71.237
37.5,-73.13
38.0,-74.211
38.5,-74.73
39.0,-74.92
39.5,-74.936
40.0,-74.866
40.5,-74.752
41.0,-74.617
41.5,-74.472
42.0,-74.321
42.5,-74.168
43.0,-74.014
43.5,-73.859
44.0,-73.704
44.5,-73.548
45.0,-73.393
45.5,-73.237
46.0,-73.081
46.5,-72.925
47.0,-72.769
47.5,-72.613
48.0,-72.457
48.5,-72.3
49.0,-72.143
49.5,-71.986
50.0,-71.828
50.5,-71.67
51.0,-71.512
51.5,-71.353
52.0,-71.194
52.5,-71.034
53.0,-70.873
53.5,-70.712
54.0,-70.55
54.5,-70.388
55.0,-70.224
55.5,-70.06
56.0,-69.895
56.5,-69.729
57.0,-69.561
57.5,-69.393
58.0,-69.223
58.5,-69.052
59.0,-68.879
59.5,-68.705
60.0,-68.529
60.5,-68.351
61.0,-68.171
61.5,-67.989
62.0,-67.805
62.5,-67.618
63.0,-67.428
63.5,-67.236
64.0,-67.04
64.5,-66.841
65.0,-66.638
65.5,-66.431
66.0,-66.22
66.5,-66.004
67.0,-65.782
67.5,-65.554
68.0,-65.32
68.5,-65.078
69.0,-64.828
69.5,-64.569
70.0,-64.3
70.5,-64.02
71.0,-63.726
71.5,-63.417
72.0,-63.091
72.5,-62.745
73.0,-62.375
73.5,-61.977
74.0,-61.547
74.5,-61.077
75.0,-60.557
75.5,-59.977
76.0,-59.321
76.5,-58.565
77.0,-57.678
77.5,-56.614
78.0,-55.302
78.5,-53.626
79.0,-51.393
79.5,-48.251
80.0,-43.501
80.5,-35.583
81.0,-20.389
81.5,15.781
82.0,30.0
82.5,-68.493
83.0,-71.319
83.5,-73.231
84.0,-74.316
84.5,-74.832
85.0,-75.019
85.5,-75.034
86.0,-74.962
86.5,-74.848
87.0,-74.714
87.5,-74.569
88.0,-74.42
88.5,-74.268
89.0,-74.114
89.5,-73.961
90.0,-73.807
90.5,-73.652
91.0,-73.498
91.5,-73.344
92.0,-73.189
92.5,-73.034
93.0,-72.879
93.5,-72.724
94.0,-72.569
94.5,-72.414
95.0,-72.258
95.5,-72.102
96.0,-71.946
96.5,-71.79
97.0,-71.633
97.5,-71.475
98.0,-71.317
98.5,-71.159
99.0,-71.0
99.5,-70.84
100.0,-70.68
100.5,-75.519
101.0,-78.254
101.5,-79.357
102.0,-79.682
102.5,-79.726
103.0,-79.68
103.5,-79.607
104.0,-79.526
104.5,-79.442
105.0,-79.359
105.5,-79.276
106.0,-79.193
106.5,-79.111
107.0,-79.03
107.5,-78.949
108.0,-78.868
108.5,-78.788
109.0,-78.709
109.5,-78.631
110.0,-78.552
110.5,-78.475
111.0,-78.398
111.5,-78.322
112.0,-78.246
112.5,-78.17
113.0,-78.096
113.5,-78.022
114.0,-77.948
114.5,-77.875
115.0,-77.802
115.5,-77.73
116.0,-77.659
116.5,-77.588
117.0,-77.517
117.5,-77.447
118.0,-77.378
118.5,-77.309
119.0,-77.241
119.5,-77.173
120.0,-77.105
120.5,-77.039
121.0,-76.972
121.5,-76.906
122.0,-76.841
122.5,-76.776
123.0,-76.712
123.5,-76.648
124.0,-76.584
124.5,-76.522
125.0,-76.459
125.5,-76.397
126.0,-76.336
126.5,-76.275
127.0,-76.214
127.5,-76.154
128.0,-76.094
128.5,-76.035
129.0,-75.977
129.5,-75.918
130.0,-75.861
130.5,-75.803
131.0,-75.746
131.5,-75.69
132.0,-75.634
132.5,-75.579
133.0,-75.523
133.5,-75.469
134.0,-75.415
134.5,-75.361
135.0,-75.308
135.5,-75.255
136.0,-75.202
136.5,-75.15
137.0,-75.098
137.5,-75.047
138.0,-74.996
138.5,-74.946
139.0,-74.896
139.5,-74.846
140.0,-74.797
140.5,-74.749
141.0,-74.7
141.5,-74.652
142.0,-74.605
142.5,-74.558
143.0,-74.511
143.5,-74.464
144.0,-74.418
144.5,-74.373
145.0,-74.328
145.5,-74.283
146.0,-74.238
146.5,-74.194
147.0,-74.151
147.5,-74.107
148.0,-74.064
148.5,-74.022
149.0,-73.98
149.5,-73.938
150.0,-73.896
150.5,-73.855
151.0,-73.815
151.5,-73.774
152.0,-73.734
152.5,-73.694
153.0,-73.655
153.5,-73.616
154.0,-73.577
154.5,-73.539
155.0,-73.501
155.5,-73.464
156.0,-73.426
156.5,-73.389
157.0,-73.353
157.5,-73.317
158.0,-73.281
158.5,-73.245
159.0,-73.21
159.5,-73.175
160.0,-73.14
160.5,-73.106
161.0,-73.072
161.5,-73.038
162.0,-73.005
162.5,-72.972
163.0,-72.939
163.5,-72.906
164.0,-72.874
164.5,-72.842
165.0,-72.811
165.5,-72.779
166.0,-72.749
166.5,-72.718
167.0,-72.688
167.5,-72.657
168.0,-72.628
168.5,-72.598
169.0,-72.569
169.5,-72.54
170.0,-72.511
170.5,-72.483
171.0,-72.455
171.5,-72.427
172.0,-72.399
172.5,-72.372
173.0,-72.345
173.5,-72.318
174.0,-72.292
174.5,-72.266
175.0,-72.24
175.5,-72.214
176.0,-72.189
176.5,-72.163
177.0,-72.138
177.5,-72.114
178.0,-72.089
178.5,-72.065
179.0,-72.041
179.5,-72.017
180.0,-71.994
180.5,-71.971
181.0,-71.948
181.5,-71.925
182.0,-71.903
182.5,-71.88
183.0,-71.858
183.5,-71.836
184.0,-71.815
184.5,-71.793
185.0,-71.772
185.5,-71.751
186.0,-71.731
186.5,-71.71
187.0,-71.69
187.5,-71.67
188.0,-71.65
188.5,-71.63
189.0,-71.611
189.5,-71.592
190.0,-71.573
190.5,-71.554
